"","study","y","precision"
"1",1,-0.889311333920205,1.7525400947001
"2",2,-1.58538865720143,2.26699023290995
"3",3,-1.34807314829969,1.5516133243452
"4",4,-1.44155119002131,7.0692950722089
"5",5,-0.217547322211296,4.41897843353115
"6",6,-0.786115585818864,12.0336869765504
"7",7,-1.62089822359839,2.11753586233779
"8",8,0.0119523335238405,15.8878753276271
"9",9,-0.469417648738149,4.20948312894283
"10",10,-1.37134480347278,3.70053768174029
"11",11,-0.339358828338391,8.97584559570909
"12",12,0.445913400571379,1.37036989846787
"13",13,-0.0173139482168798,3.74228383095205
