p,maxb,k,minb,as
1,0.0515202971,1000,0.0515202971,1
0.9,0.2502412436,1000,-0.152519461,1
0.8,0.413264027,1000,-0.315402869,1
0.7,0.5700258156,1000,-0.474216348,1
0.6,0.7260256109,1000,-0.631115246,1
0.5,0.8936387434,1000,-0.790547215,1
0.4,1.0793913792,1000,-0.964092792,1
0.3,1.2886414397,1000,-1.168729802,1
0.2,1.5426633519,1000,-1.418837292,1
0.1,1.9505573446,1000,-1.799657759,1
1,0.0515202971,1000,0.0515202971,2
0.9,0.2502995373,1000,-0.152589127,2
0.8,0.462009714,1000,-0.361970123,2
0.7,0.6187196963,1000,-0.498046801,2
0.6,0.7733796156,1000,-0.654784629,2
0.5,0.9399281928,1000,-0.835155805,2
0.4,0.9959600976,1000,-0.880172517,2
0.3,1.1947141985,1000,-1.079104535,2
0.2,1.4424573232,1000,-1.33198473,2
0.1,1.9006047713,1000,-1.749312004,2
1,0.0515202971,1000,0.0515202971,3
0.9,0.250240418,1000,-0.152519143,3
0.8,0.4132643176,1000,-0.315403068,3
0.7,0.5700257573,1000,-0.474216114,3
0.6,0.7260268408,1000,-0.631115247,3
0.5,0.8936368355,1000,-0.790559597,3
0.4,1.0793915128,1000,-0.964092481,3
0.3,1.2886422852,1000,-1.168729762,3
0.2,1.5426635344,1000,-1.418837306,3
0.1,1.9505573126,1000,-1.799657628,3
